task,episode,method,success,chunk,action_start_step,action_end_step,source,semantic_key,action_text,evaluator_score,step_reward,discounted_return,selected_advantage,choice_changed,augmentation_changed_choice,evaluator_result
libero_90_task69,4,jitrl,0,10,300,330,memory,lower|held_cup|table_left,lower the held cup onto the table on the left,2,0.6666666666666666,2.156583333333333,0.6352841398253373,1,1,"The gripper successfully lowers onto the chocolate pudding box to establish contact for grasping, making clear progress toward placing it left of the plate."
libero_90_task69,4,jitrl,0,11,330,360,generator,lower|box|left_of_saucer,lower the held box onto the table area to the left of the saucer,1,0.3333333333333333,1.5683333333333331,-0.5540926112853454,0,0,The robot continues holding the chocolate pudding box near the saucer without releasing it onto the surface. The action shows minimal movement and no completed placement.
libero_90_task69,4,jitrl,0,12,360,390,generator,release|held_box|table_left_of_plate,release the held box onto the table to the left of the plate,2,0.6666666666666666,1.2999999999999998,-1.0,0,0,"The robot opened its gripper, releasing the chocolate pudding box onto the table surface to the left of the saucer."
libero_90_task69,4,jitrl,0,13,390,400,generator,open|gripper|box,open the gripper fully to release the box,2,0.6666666666666666,0.6666666666666666,-0.9863841064736701,0,0,"The robot opens its gripper fully, successfully releasing the chocolate pudding box onto the table surface to the left of the plate."
libero_90_task69,4,static,0,0,0,30,generator,grasp|chocolate_pudding|table,descend to grasp the chocolate pudding,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,1,30,60,generator,align|chocolate_pudding|table,align gripper with the chocolate pudding box,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,2,60,90,generator,approach|rectangular_object|left_table,approach the small rectangular object on the left,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,3,90,120,generator,lower|gripper|chocolate_pudding_box,lower the gripper toward the small chocolate pudding box,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,4,120,150,generator,align|gripper|chocolate-pudding-box,position the gripper directly above the chocolate pudding box,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,5,150,180,generator,grasp|small_box|none,close the gripper around the small box,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,6,180,210,generator,carry|held_object|saucer_left,carry the held object toward the left side of the saucer,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,7,210,240,generator,place|chocolate_pudding|left_of_plate,place the chocolate pudding to the left of the plate,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,8,240,270,generator,place|chocolate-pudding|left-of-plate,place the chocolate pudding to the left of the plate,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,9,270,300,generator,place|small_box|left_of_saucer,place the small box to the left of the saucer,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,10,300,330,generator,place|chocolate-pudding|left-of-plate,place the chocolate pudding to the left of the plate,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,11,330,360,generator,descend|gripper|object,descend toward the object on the table,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,12,360,390,generator,grasp|chocolate_pudding|gripper,close the gripper around the chocolate pudding box,,,0.0,0.0,0,0,
libero_90_task69,4,static,0,13,390,400,generator,move|held_object|left_of_plate,move the held object to the left of the plate,,,0.0,0.0,0,0,
